Date,B120BP,B120,Q120,TA2J6500,Q115,Q2100H,Q3015
2016-04-22,1194,359,10202,42,4413,10,0
2016-04-23,0,0,0,0,0,0,0
2016-04-24,0,12,96,0,39,0,0
2016-04-25,1980,583,14372,75,6101,262,0
2016-04-26,2646,787,6737,286,4946,258,0
2016-04-27,4100,569,16534,42,4502,89,336
2016-04-28,3812,2862,15645,272,6350,346,0
2016-04-29,3624,352,16353,22,5530,25,144
2016-04-30,0,0,0,0,0,0,0
2016-05-01,3078,1735,9760,63,3017,18,0
2016-05-02,2685,420,9432,55,3926,99,0
2016-05-03,0,0,0,0,0,0,0
2016-05-04,5227,917,10893,142,3737,307,0
2016-05-05,4266,1338,7680,35,5011,117,1393
2016-05-06,0,0,0,0,0,0,0
2016-05-07,2456,791,13828,80,2443,64,0
2016-05-08,4097,979,12170,31,5137,115,360
2016-05-09,0,0,0,0,0,0,0
2016-05-10,3602,722,12567,37,0,27,144
2016-05-11,0,0,180,0,2208,0,0
2016-05-12,4799,1179,14448,33,5392,5,0
2016-05-13,4264,491,13496,150,3316,18,0
2016-05-14,0,0,0,0,0,0,0
2016-05-15,0,0,0,0,0,0,0
2016-05-16,4640,1590,13441,77,4283,287,0
2016-05-17,4814,520,5978,28,8225,229,0
2016-05-18,4157,680,16711,70,4820,517,240
2016-05-19,3901,3855,8218,24,7044,438,1153
2016-05-20,0,0,0,0,0,0,0
2016-05-21,0,0,0,0,0,0,0
2016-05-22,0,0,0,7,0,0,0
2016-05-23,2492,0,1795,0,728,4,0
2016-05-24,3956,634,9182,62,1244,882,0
2016-05-25,3414,3749,23401,37,4936,0,0
2016-05-26,5148,3574,31371,293,16345,0,2119
2016-05-27,4532,727,17646,15,5580,73,0
2016-05-28,0,15,69,0,0,0,0
2016-05-29,0,0,0,0,0,0,0
2016-05-30,0,0,1056,0,0,0,0
2016-05-31,4129,1679,12170,46,5685,22,0
2016-06-01,2079,803,21619,42,5533,279,0
2016-06-02,0,0,0,0,0,0,0
2016-06-03,0,0,66,0,0,0,0
2016-06-04,5130,1427,16217,42,5617,26,240
2016-06-05,3363,676,13545,36,4624,5,192
2016-06-06,3871,908,7568,33,2087,225,0
