B120BP,B120,Q120,TA2J6500,Q115,Q2100H,Q3015
1770,17,1306,21,459,21,0
2704,414,9269,12,3512,2,0
4324,1120,19245,332,7229,93,192
0,0,0,0,0,0,0
0,0,113,0,0,0,0
3467,3906,10530,65,6584,255,1511
3203,435,12881,11,5272,192,169
4115,1759,12850,150,4007,0,48
4782,658,18775,63,5392,755,0
3734,394,10398,49,4254,6,465
3506,6232,8999,67,3345,0,0
2711,311,19385,45,6096,6,338
0,0,0,0,0,0,0
3088,698,16426,55,6765,428,33
2926,1012,18571,70,17520,664,1488
0,0,0,0,0,0,0
4220,1935,10514,88,4911,30,0
4096,563,10976,105,5947,409,2496
0,0,0,0,0,0,0
2654,1997,8702,45,2412,225,0
3860,270,10612,93,4198,31,0
4699,354,12699,522,5428,36,0
3512,2718,7069,42,1954,1052,0
5481,577,6204,41,2146,46,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
4044,3489,12832,17,3695,43,0
3593,648,9252,132,2070,4,0
3800,703,7585,254,4040,19,337
3766,757,9188,16,7284,1,289
6258,434,9047,39,4802,49,240
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3711,1403,9056,47,5246,25,0
4400,335,8644,39,2858,118,0
3514,856,16165,53,6723,105,292
3973,796,11913,118,10792,68,577
3921,313,15205,60,5845,79,0
3117,8700,15366,51,4299,252,0
0,0,0,12,0,0,0
0,0,0,0,0,0,0
4278,383,13189,29,5579,71,0
4677,1960,14118,20,7798,1,490
0,0,0,0,0,0,0
0,0,144,6,96,0,0
3226,1754,10944,16,3197,68,48
0,0,600,0,0,0,0
5314,4145,10499,186,3096,276,624
0,0,0,0,0,0,0
4422,4137,10861,90,2319,306,48
3117,2851,9517,54,1801,1512,0
214,498,9069,39,5778,0,240
0,0,0,0,0,0,0
0,0,0,0,0,0,0
4418,615,4630,9,2188,149,0
4423,235,6927,30,1887,484,0
4469,490,13831,6,5485,464,484
4412,752,13505,149,5543,2,2064
3723,452,11528,34,2796,272,0
0,0,0,6,0,0,0
